Neighborhood,Population,Latitude,Longitude
Bathinda,285813,30.20712000000003,74.94140000000004
Jalna,285349,19.833330000000046,75.88333000000006
Eluru[22],283648,16.700000000000045,81.10000000000008
Barasat,283443,22.72118000000006,88.48157000000003
Kirari Suleman Nagar,282598,28.694510000000037,77.04456000000005
Purnia[23],280547,25.776850000000024,87.47426000000007
Satna,280248,24.576020000000028,80.80120000000005
Mau,279060,25.938540000000046,83.56515000000007
Sonipat,277053,28.99523000000005,77.02220000000005
Farrukhabad,275750,27.390480000000025,79.58006000000006
Durg,268679,21.199140000000057,81.28973000000008
Imphal,264986,24.807560000000024,93.92864000000009
Ratlam,264810,23.33033000000006,75.04032000000007
Hapur,262801,28.730410000000063,77.78141000000005
Arrah,261099,25.55821000000003,84.67780000000005
Anantapur,261004,14.683650000000057,77.58146000000005
Karimnagar,260899,18.437170000000037,79.13123000000007
Etawah,256838,26.77780000000007,79.02159000000006
Ambarnath,254003,19.195740000000058,73.19404000000003
North Dumdum,253625,22.685200000000066,88.42188000000004
Bharatpur,252109,27.210870000000057,77.48154000000005
Begusarai,251136,25.424420000000055,86.13367000000005
New Delhi,249998,28.63095000000004,77.21721000000008
Gandhidham,248705,23.08758000000006,70.14500000000004
Baranagar,248466,22.642980000000023,88.37775000000005
Tiruvottiyur,248059,13.15778000000006,80.30417000000006
Pondicherry,241773,11.92993000000007,79.82470000000006
Sikar,237579,27.612060000000042,75.13996000000003
Thoothukudi,237374,8.837500000000034,77.96300000000008
Rewa,235422,24.52594000000005,81.30262000000005
Mirzapur,233691,25.13432000000006,82.56707000000006
Raichur,232456,16.200000000000045,77.36667000000006
Pali,229956,25.772760000000062,73.32335000000006
Ramagundam[24],229644,18.756570000000067,79.48427000000004
Silchar,229136,24.812770000000057,92.79759000000007
Haridwar,228832,29.947910000000036,78.16025000000008
Vijayanagaram,228025,18.118400000000065,83.41798000000006
Tenali,225982,16.238910000000033,80.64422000000008
Nagercoil,224849,8.193890000000067,77.43139000000008
Sri Ganganagar,224773,29.92008000000004,73.87496000000004
Karawal Nagar,224666,28.727500000000077,77.27010000000007
Mango,223805,24.23837000000003,85.77871000000005
Thanjavur,222943,10.768570000000068,79.12898000000007
Bulandshahr,222519,28.40718000000004,77.84908000000007
Uluberia,222240,22.468140000000062,88.09343000000007
Katni,221883,23.751292053000043,80.40825143600006
Sambhal,220813,28.584380000000067,78.57182000000006
Singrauli,220257,24.194680000000062,82.66560000000004
Nadiad,218095,22.700000000000045,72.86667000000006
Secunderabad,217910,17.442000000000064,78.50192000000004
Naihati,217900,22.895760000000053,88.42876000000007
Yamunanagar,216677,30.129130000000032,77.28049000000004
Bidhannagar,215514,26.495210000000043,88.23904000000005
Pallavaram,215417,12.976110000000062,80.18361000000004
Bidar,214373,17.900000000000034,77.55000000000007
Munger,213303,25.365560000000073,86.48767000000004
Panchkula,211355,30.704570000000047,76.86396000000008
Burhanpur,210886,21.300000000000068,76.23333000000008
Raurkela Industrial Township,210317,22.22234000000003,84.86267000000004
Kharagpur,207604,22.328100000000063,87.25169000000005
Dindigul,207327,10.362050000000067,77.96951000000007
Gandhinagar,206167,23.240820000000042,72.63733000000008
Hospet,206167,15.268830000000037,76.39092000000005
Nangloi Jat,205596,28.67865000000006,77.06769000000008
Malda,205521,25.010940000000062,88.14053000000007
Ongole,204746,15.505990000000054,80.04994000000005
Deoghar,203123,24.489070000000027,86.69949000000008
Chapra,202352,25.781940000000077,84.74300000000005
Haldia,200827,22.062620000000038,88.08316000000008
Khandwa,200738,21.82122000000004,76.35638000000006
Nandyal,200516,15.470330000000047,78.47094000000004
Morena,200482,26.49052000000006,77.98572000000007
Amroha,198471,28.876960000000054,78.46851000000004
Anand,198282,22.566670000000045,72.93333000000007
Bhind,197585,26.567070000000058,78.78545000000008
Bhalswa Jahangir Pur,197148,28.74508000000003,77.15873000000005
Madhyamgram,196127,22.670970000000068,88.44321000000008
Bhiwani,196057,28.791940000000068,76.14108000000004
Berhampore,195223,24.100420000000042,88.24071000000004
Ambala,195153,30.362840000000062,76.79516000000007
Morbi,194947,22.807770000000062,70.82356000000004
Fatehpur,193193,27.173260000000028,81.21653000000003
Raebareli,191316,26.220930000000067,81.25565000000006
"Khora, Ghaziabad",190400,28.662490000000048,77.43777000000006
Chittoor[25],189332,13.205880000000036,79.08805000000007
Bhusawal,187421,21.04854000000006,75.78869000000003
Orai,187137,25.986650000000054,79.45085000000006
Bahraich,186223,27.576820000000055,81.60251000000005
Phusro,186139,23.765100000000075,85.99122000000006
Vellore,185803,12.913560000000075,79.13251000000008
Mehsana,184991,23.60800000000006,72.37459000000007
Raiganj,183612,25.619520000000023,88.12647000000004
Sirsa,182534,29.539420000000064,75.03110000000004
Danapur,182429,25.621120000000076,85.04452000000003
Serampore,181842,22.744670000000042,88.34975000000009
Sultan Pur Majra,181554,28.69097000000005,77.05938000000003
Guna,180935,24.646430000000066,77.31090000000006
Jaunpur,180362,25.74508000000003,82.68237000000005
Panvel,180020,18.99821000000003,73.12315000000007
Shivpuri,179977,25.42348000000004,77.66067000000004
Surendranagar Dudhrej,177851,22.755130000000065,71.61994000000004
Unnao,177658,26.547060000000045,80.48781000000008
Chinsurah,177259,22.903530000000046,88.38261000000006
Alappuzha,174164,9.501300000000072,76.33232000000004
Kottayam,172878,9.59477000000004,76.53291000000007
Machilipatnam,169892,16.166670000000067,81.13333000000006
Shimla,169578,31.103210000000047,77.15847000000008
Adoni,166537,15.633330000000058,77.28333000000003
Udupi,165401,13.335010000000068,74.74936000000008
Katihar,164937,25.538520000000062,87.57044000000008
Proddatur,163600,14.733330000000024,78.55000000000007
Mahbubnagar,158000,16.749090000000024,77.99641000000008
Saharsa[26],155175,25.877230000000054,86.59285000000006
Dibrugarh,154296,27.48440000000005,94.92311000000007
Jorhat,153889,26.767480000000035,94.20675000000006
Hazaribagh,153599,23.998790000000042,85.36729000000008
Hindupur,151835,13.833290000000034,77.49390000000005
Nagaon,148496,26.34949000000006,92.68462000000005
Sasaram[27],147396,24.954600000000028,84.01767000000007
Hajipur[28],147126,25.690030000000036,85.20954000000006
Giridih,143529,24.187110000000075,86.30464000000006
Bhimavaram,142280,16.533330000000035,81.53333000000003
Kumbakonam,140056,10.95945000000006,79.37878000000006
Bongaigaon,139650,26.46936000000005,90.56083000000007
Dehri[27],137068,24.89444000000003,84.16841000000005
Madanapalle,135669,13.564450000000022,78.49937000000006
Siwan[29],134458,26.221520000000055,84.35879000000006
Bettiah[30],132896,26.80352000000005,84.52526000000006
Ramgarh,132441,24.563660000000027,87.25034000000005
Tinsukia,126389,27.48771000000005,95.35682000000008
Guntakal,126270,15.160420000000045,77.37922000000003
Srikakulam,125939,18.300000000000068,83.90000000000003
Motihari[31],125183,26.657380000000046,84.91922000000005
Dharmavaram,121874,14.413280000000043,77.72013000000004
Medininagar,120325,24.03899000000007,84.07681000000008
Gudivada,118167,16.450000000000045,80.98333000000008
Phagwara,117966,31.218500000000063,75.77166000000005
Hosur,116821,12.736470000000054,77.83264000000008
Narasaraopet,116250,16.236600000000067,80.05551000000008
Suryapet,115250,17.15244000000007,79.62124000000006
Miryalaguda,109891,16.86095000000006,79.55280000000005
Tadipatri,108171,14.910750000000064,78.00298000000004
Karaikudi,106714,10.074160000000063,78.77369000000004
Kishanganj[32],105782,26.10265000000004,87.94312000000008
Jamalpur[33],105221,25.312580000000025,86.48888000000005
Ballia,104271,25.75827000000004,84.14792000000006
Kavali,104000,14.91288000000003,79.99058000000008
